time,pAtm,lon,lat,TDewPoi,HDirNor,HDifHor,HGloHor,relHum,nTot,ceiHei,winSpe,winDir,nOpa,TBlaSky,HHorIR,cloTim,solZen,solAlt,solDec,solTim,solHouAng,TDryBul,TWetBul
0.0,101325.0,0.07906341511534314,0.8883725892651138,268.95,0.0,0.0,0.0,0.66,0.2,22000.0,5.1,3.490658503988659,0.1,258.46336960388305,253.0,0.0,2.6322358645728783,-1.0614395377779817,-0.40288613372050763,-2729.212398939308,-3.340066580038726,274.15,272.11153497157176
900.0,101325.0,0.07906341511534314,0.8883725892651138,268.95,0.0,0.0,0.0,0.66,0.2,22000.0,5.1,3.490658503988659,0.1,258.46336960388305,253.0,900.0,2.645217356933782,-1.0744210301388852,-0.40287285802311723,-1829.4930073605433,-3.2746371395091862,274.15,272.11153497157176
1800.0,101325.0,0.07906341511534314,0.8883725892651138,268.95,0.0,0.0,0.0,0.66,0.2,22000.0,5.1,3.490658503988659,0.1,258.46336960388305,253.0,1800.0,2.6532463358319394,-1.0824500090370428,-0.40285956871626616,-929.7735874647788,-3.2092076969203753,274.15,272.11153497157176
2700.0,101325.0,0.07906341511534314,0.8883725892651138,268.95,0.0,0.0,0.0,0.66,0.2,22000.0,5.1,3.490658503988659,0.1,258.46336960388305,253.0,2700.0,2.6560633607452613,-1.0852670339503647,-0.40284626580061,-30.054139223764196,-3.143778252270241,274.15,272.11153497157176
3600.0,101325.0,0.07906341511534314,0.8883725892651138,268.95,0.0,0.0,0.0,0.66,0.2,22000.0,5.1,3.490658503988659,0.1,258.46336960388305,253.0,3600.0,2.6535733608268512,-1.0827770340319547,-0.40283294927680513,869.665337390749,-3.0783488055567267,274.15,272.11153497157176
4500.0,101325.0,0.07906341511534314,0.8883725892651138,268.95,0.0,0.0,0.0,0.66,0.2,22000.0,5.1,3.490658503988659,0.1,258.46336960388305,253.0234375,4500.0,2.645860205079418,-1.0750638782845217,-0.4028196191455084,1769.3848424070043,-3.0129193567777794,274.15,272.11153497157176
5400.0,101325.0,0.07906341511534314,0.8883725892651138,268.95,0.0,0.0,0.0,0.66,0.2,22000.0,5.1,3.490658503988659,0.1,258.46336960388305,253.0625,5400.0,2.633173806708568,-1.0623774799136716,-0.40280627540737723,2669.104375853242,-2.9474899059313464,274.15,272.11153497157176
6300.0,101325.0,0.07906341511534314,0.8883725892651138,268.95,0.0,0.0,0.0,0.66,0.2,22000.0,5.1,3.490658503988659,0.1,258.46336960388305,253.0703125,6300.0,2.6158941727739307,-1.045097845979034,-0.4027929180630699,3568.823937757699,-2.8820604530153724,274.15,272.11153497157176
7200.0,101325.0,0.07906341511534314,0.8883725892651138,268.95,0.0,0.0,0.0,0.66,0.2,22000.0,5.1,3.490658503988659,0.1,258.46336960388305,253.0,7200.0,2.5944836677123853,-1.0236873409174887,-0.4027795471132453,4468.543528148609,-2.816630998027805,274.15,272.11153497157176
8100.0,101325.0,0.07906341511534314,0.8883725892651138,268.744140625,0.0,0.0,0.0,0.6637500000000001,0.23750000000000002,22000.0,5.184374999999999,3.490658503988659,0.153125,258.64141875410985,252.8203125,8100.0,2.5694398198496624,-0.9986434930547659,-0.40276616255856285,5368.263147054199,-2.751201540966592,273.86022727272723,271.87220860954767
9000.0,101325.0,0.07906341511534314,0.8883725892651138,268.259375,0.0,0.0,0.0,0.6725,0.325,22000.0,5.375,3.490658503988659,0.275,258.74682385806346,252.5625,9000.0,2.5412572237168547,-0.9704608969219581,-0.4027527643996826,6267.982794502697,-2.6857720818296795,273.1772727272727,271.3043678321963
9900.0,101325.0,0.07906341511534314,0.8883725892651138,267.694921875,0.0,0.0,0.0,0.6825,0.42499999999999993,22000.0,5.578125,3.490658503988659,0.40937500000000004,258.55490359449203,252.2734375,9900.0,2.5104018141766424,-0.9396054873817459,-0.40273935263726546,7167.702470522324,-2.6203426206150167,272.3806818181818,270.63522811669964
10800.0,101325.0,0.07906341511534314,0.8883725892651138,267.25,0.0,0.0,0.0,0.6900000000000001,0.5,22000.0,5.7,3.490658503988659,0.5,258.292708653646,252.0,10800.0,2.4772967336411535,-0.906500406846257,-0.4027259272719727,8067.422175141299,-2.55491315732055,271.75,270.099008979639
11700.0,101325.0,0.07906341511534314,0.8883725892651138,266.930703125,0.0,0.0,0.0,0.6950000000000001,0.55,19031.25,5.634375,3.463387734426248,0.55,258.05180196378626,251.75,11700.0,2.442317050085989,-0.8715207232910926,-0.40271248830446654,8967.141908387834,-2.4894836919442285,271.29521103896104,269.7080126884821
12600.0,101325.0,0.07906341511534314,0.8883725892651138,266.62562499999996,0.0,0.0,0.0,0.7000000000000001,0.6000000000000001,12500.000000000002,5.425,3.4033920413889427,0.6000000000000001,257.8634564827294,251.5,12600.0,2.4057902658512313,-0.8349939390563348,-0.40269903573540955,9866.861670290142,-2.4240542244840007,270.85844155844154,269.33195440921776
13500.0,101325.0,0.07906341511534314,0.8883725892651138,266.35773437499995,0.0,0.0,0.0,0.705,0.65,5968.7500000000055,5.203125,3.3433963483516376,0.65,257.7717800007657,251.25,13500.0,2.3680000826168803,-0.7972037558219838,-0.4026855695654652,10766.58146087643,-2.358624754937815,270.4674512987013,268.9966316737288
